symbol,name,type
NABILD2089,7% Nabil Debenture 2089,bond
NABILD87,9% Nabil Debenture 2087,bond
NABILP,NABIL Bank Limited Promotor Share,promoter
NABILPNP,Nabil 8% Perpetual Non Cumulative Preference Share,bond
NADDF,NIC Asia Dynamic Debt Fund,fund
NADEP,Nadep Laghubittiya bittya Sanstha Ltd.,promoter
NADEPP,Nadep Laghubitta Bittiya Sanstha Ltd. Promoter Share,promoter
NAGRO,Nepal Agro Laghubitta Bittiya Sanstha Limited,equity
NBB,Nepal Bangladesh Bank Limited,equity
NBBD2085,10.25% NBBL Debenture 2085,bond
NBBL,NagBeli LaghuBitta Bikas Bank Ltd.,equity
NBBLPO,NagBeli LaghuBitta Bikas Bank Ltd. Promoter Share,promoter
NBBPO,Nepal Bangladesh Bank Limited Promoter Share,promoter
NBBU,Nepal Bitumin And Barrel Udhyog Limited,equity
NBF2,NABIL BALANCED FUND-2,fund
NBF3,Nabil Balance Fund III,fund
NBL,Nepal Bank Limited,equity
NBLD82,10% Nabil Debenture 2082,bond
NBLD85,8% Nabil Debenture 2085,bond
NBLD87,8.5% Nepal Bank Debenture 2087,bond
NCBL,National Co-operative Bank Limited,equity
NCCB,Nepal Credit And Commercial Bank Limited,equity
NCCBPO,Nepal Credit & Commercial Bank Ltd. Promoter Share,promoter
NCCD86,9.5% NCC Rinpatra 2086,bond
NCDB,Nepal Community Development Bank Ltd.,equity
NCDBPO,Nepal Community Development Bank Ltd. Promoter Share,promoter
NEF,Nabil Equity Fund,fund
NEPSE,NEPAL STOCK EXCHANGE,index
NESDO,NESDO Sambridha Laghubitta Bittiya Sanstha Limited,equity
NFCF,Nabil Flexi Cap Fund,fund
NFD,Nepal Film Development Company Limited,equity
NFS,Nepal Finance Ltd.,equity
NFSPO,Nepal Finance Ltd. Promoter Share,promoter
NGPL,Ngadi Group Power Ltd.,equity
NHDL,Nepal Hydro Developers Ltd.,equity
NHPC,National Hydro Power Company Limited,equity
NI31,NI 31,equity
NIB,Nepal Investment Bank Limited,equity
NIBD2082,10.5 % NEPAL INVESTMENT DEBENTURE 2082,bond
NIBD84,8.5% Nepal Investment Bank Bond 2084,bond
NIBLGF,NIBL Growth Fund,fund
NIBLPF,NIBL Pragati Fund,fund
NIBLSF,NIBL Sahabhagita Fund,fund
NIBLSTF,NIBL STABLE FUND,fund
NIBPO,Nepal Investment Bank Ltd. Promoter Share,promoter
NIBSF1,NIBL Samriddhi Fund 1,fund
NIBSF2,NIBL Samriddhi Fund - II,fund
NICA,NIC Asia Bank Ltd.,equity
NICAD 85/86,NIC Asia Debenture 2085/86,bond
NICAD2091,7% NIC Asia Debenture 2091,bond
